date	close
2-Jan-08	194.84
3-Jan-08	194.93
4-Jan-08	180.05
7-Jan-08	177.64
8-Jan-08	171.25
9-Jan-08	179.40
10-Jan-08	178.02
11-Jan-08	172.69
14-Jan-08	178.78
15-Jan-08	169.04
16-Jan-08	159.64
17-Jan-08	160.89
18-Jan-08	161.36
22-Jan-08	155.64
23-Jan-08	139.07
24-Jan-08	135.60
25-Jan-08	130.01
28-Jan-08	130.01
29-Jan-08	131.54
30-Jan-08	132.18
31-Jan-08	135.36
1-Feb-08	133.75
4-Feb-08	131.65
5-Feb-08	129.36
6-Feb-08	122.00
7-Feb-08	121.24
8-Feb-08	125.48
11-Feb-08	129.45
12-Feb-08	124.86
13-Feb-08	129.40
14-Feb-08	127.46
15-Feb-08	124.63
19-Feb-08	122.18
20-Feb-08	123.82
21-Feb-08	121.54
22-Feb-08	119.46
25-Feb-08	119.74
26-Feb-08	119.15
27-Feb-08	122.96
28-Feb-08	129.91
29-Feb-08	125.02
3-Mar-08	121.73
4-Mar-08	124.62
5-Mar-08	124.49
6-Mar-08	120.93
7-Mar-08	122.25
10-Mar-08	119.69
11-Mar-08	127.35
12-Mar-08	126.03
13-Mar-08	127.94
14-Mar-08	126.61
17-Mar-08	126.73
18-Mar-08	132.82
19-Mar-08	129.67
20-Mar-08	133.27
24-Mar-08	139.53
25-Mar-08	140.98
26-Mar-08	145.06
27-Mar-08	140.25
28-Mar-08	143.01
31-Mar-08	143.50
1-Apr-08	149.53
2-Apr-08	147.49
3-Apr-08	151.61
4-Apr-08	153.08
7-Apr-08	155.89
8-Apr-08	152.84
9-Apr-08	151.44
10-Apr-08	154.55
11-Apr-08	147.14
14-Apr-08	147.78
15-Apr-08	148.38
16-Apr-08	153.70
17-Apr-08	154.49
18-Apr-08	161.04
21-Apr-08	168.16
22-Apr-08	160.20
23-Apr-08	162.89
24-Apr-08	168.94
25-Apr-08	169.73
28-Apr-08	172.24
29-Apr-08	175.05
30-Apr-08	173.95
1-May-08	180.00
2-May-08	180.94
5-May-08	184.73
6-May-08	186.66
7-May-08	182.59
8-May-08	185.06
9-May-08	183.45
12-May-08	188.16
13-May-08	189.96
14-May-08	186.26
15-May-08	189.73
16-May-08	187.62
19-May-08	183.60
20-May-08	185.90
21-May-08	178.19
