date	close
1-Jan-09	85.35
2-Jan-09	90.75
5-Jan-09	94.58
6-Jan-09	93.02
7-Jan-09	91.01
8-Jan-09	92.70
9-Jan-09	90.58
12-Jan-09	88.66
13-Jan-09	87.71
14-Jan-09	85.33
15-Jan-09	83.38
16-Jan-09	82.33
20-Jan-09	78.20
21-Jan-09	82.83
22-Jan-09	88.36
23-Jan-09	88.36
26-Jan-09	89.64
27-Jan-09	90.73
28-Jan-09	94.20
29-Jan-09	93.00
30-Jan-09	90.13
2-Feb-09	91.51
3-Feb-09	92.98
4-Feb-09	93.55
5-Feb-09	96.46
6-Feb-09	99.72
9-Feb-09	102.51
10-Feb-09	97.83
11-Feb-09	96.82
12-Feb-09	99.27
13-Feb-09	99.16
17-Feb-09	94.53
18-Feb-09	94.37
19-Feb-09	90.64
20-Feb-09	91.20
23-Feb-09	86.95
24-Feb-09	90.25
25-Feb-09	91.16
26-Feb-09	89.19
27-Feb-09	89.31
2-Mar-09	87.94
3-Mar-09	88.37
4-Mar-09	91.17
5-Mar-09	88.84
6-Mar-09	85.30
9-Mar-09	83.11
10-Mar-09	88.63
11-Mar-09	92.68
12-Mar-09	96.35
13-Mar-09	95.93
16-Mar-09	95.42
17-Mar-09	99.66
18-Mar-09	101.52
19-Mar-09	101.62
20-Mar-09	101.59
23-Mar-09	107.66
24-Mar-09	106.50
25-Mar-09	106.49
26-Mar-09	109.87
27-Mar-09	106.85
30-Mar-09	104.49
31-Mar-09	105.12
1-Apr-09	108.69
2-Apr-09	112.71
3-Apr-09	115.99
6-Apr-09	118.45
7-Apr-09	115.00
8-Apr-09	116.32
9-Apr-09	119.57
10-Apr-09	119.57
13-Apr-09	120.22
14-Apr-09	118.31
15-Apr-09	117.64
16-Apr-09	121.45
17-Apr-09	123.42
20-Apr-09	120.50
21-Apr-09	121.76
22-Apr-09	121.51
23-Apr-09	125.40
24-Apr-09	123.90
27-Apr-09	124.73
28-Apr-09	123.90
29-Apr-09	125.14
30-Apr-09	125.83
1-May-09	127.24
4-May-09	132.07
5-May-09	132.71
6-May-09	132.50
7-May-09	129.06
8-May-09	129.19
11-May-09	129.57
12-May-09	124.42
13-May-09	119.49
14-May-09	122.95
15-May-09	122.42
18-May-09	126.65
19-May-09	127.45
20-May-09	125.87
21-May-09	124.18
22-May-09	122.50
26-May-09	130.78
27-May-09	133.05
28-May-09	135.07
29-May-09	135.81
1-Jun-09	139.35
2-Jun-09	139.49
3-Jun-09	140.95
4-Jun-09	143.74
